libqt6qmlmodels6:amd64	6.10.2+dfsg-3
libqt6qmlworkerscript6:amd64	6.10.2+dfsg-3
libqt6quick6:amd64	6.10.2+dfsg-3
libqt6quickcontrols2-6:amd64	6.10.2+dfsg-3
libqt6quickshapes6:amd64	6.10.2+dfsg-3
libqt6quicktemplates2-6:amd64	6.10.2+dfsg-3
libqt6quickwidgets6:amd64	6.10.2+dfsg-3
libqt6shadertools6:amd64	6.10.2-1
libqt6svg6:amd64	6.10.2-2
libqt6texttospeech6:amd64	6.10.2-1
libqt6uitools6:amd64	6.10.2-1
libqt6waylandclient6:amd64	6.10.2+dfsg-7
libqt6waylandcompositor6:amd64	6.10.2-4
libqt6webchannel6:amd64	6.10.2-1
libqt6webengine6-data	6.10.2+dfsg-1
libqt6webenginecore6:amd64	6.10.2+dfsg-1
libqt6webenginecore6-bin	6.10.2+dfsg-1
libqt6webenginewidgets6:amd64	6.10.2+dfsg-1
libqt6widgets6:amd64	6.10.2+dfsg-7
libqt6wlshellintegration6:amd64	6.10.2+dfsg-7
libqt6xml6:amd64	6.10.2+dfsg-7
libquickcharts1:amd64	6.24.0-0ubuntu1
libquickchartscontrols1:amd64	6.24.0-0ubuntu1
librabbitmq4:amd64	0.15.0-1ubuntu0.26.04.1
librav1e0.8:amd64	0.8.1-7
libraw1394-11:amd64	2.1.2-2build4
libreadline8t64:amd64	8.3-4
librist4:amd64	0.2.11+dfsg-1build1
libroc0.4:amd64	0.4.0+dfsg-5ubuntu3.1
librsvg2-2:amd64	2.61.3+dfsg-3
librtmp1:amd64	2.4+20151223.gitfa8646d.1-3
librubberband3:amd64	4.0.0+dfsg-2ubuntu1
libsamplerate0:amd64	0.2.2-4build2
libsasl2-2:amd64	2.1.28+dfsg1-9ubuntu3
libsasl2-modules-db:amd64	2.1.28+dfsg1-9ubuntu3
libseccomp2:amd64	2.6.0-2ubuntu5
libsecret-1-0:amd64	0.21.7-2build1
libsecret-common	0.21.7-2build1
libselinux1:amd64	3.9-4build1
libsemanage-common	3.9-1build1
libsemanage2:amd64	3.9-1build1
libsensors-config	1:3.6.2-2build1
libsensors5:amd64	1:3.6.2-2build1
libsepol2:amd64	3.9-2
libserd-0-0:amd64	0.32.6-1
libsharpyuv0:amd64	1.5.0-0.1build1
