2026-04-20 18:05:20 status unpacked sed:amd64 4.9-2build3
2026-04-20 18:05:20 install sensible-utils:all <none> 0.0.26build1
2026-04-20 18:05:20 status half-installed sensible-utils:all 0.0.26build1
2026-04-20 18:05:20 status unpacked sensible-utils:all 0.0.26build1
2026-04-20 18:05:20 install sysvinit-utils:amd64 <none> 3.15-5ubuntu1
2026-04-20 18:05:20 status half-installed sysvinit-utils:amd64 3.15-5ubuntu1
2026-04-20 18:05:20 status unpacked sysvinit-utils:amd64 3.15-5ubuntu1
2026-04-20 18:05:20 install tar:amd64 <none> 1.35+dfsg-4
2026-04-20 18:05:20 status half-installed tar:amd64 1.35+dfsg-4
2026-04-20 18:05:20 status unpacked tar:amd64 1.35+dfsg-4
2026-04-20 18:05:20 install util-linux:amd64 <none> 2.41.3-3ubuntu2
2026-04-20 18:05:20 status half-installed util-linux:amd64 2.41.3-3ubuntu2
2026-04-20 18:05:20 status unpacked util-linux:amd64 2.41.3-3ubuntu2
2026-04-20 18:05:20 install zlib1g:amd64 <none> 1:1.3.dfsg+really1.3.1-1ubuntu3
2026-04-20 18:05:20 status half-installed zlib1g:amd64 1:1.3.dfsg+really1.3.1-1ubuntu3
2026-04-20 18:05:20 status unpacked zlib1g:amd64 1:1.3.dfsg+really1.3.1-1ubuntu3
2026-04-20 18:05:21 startup packages configure
2026-04-20 18:05:21 configure libc-gconv-modules-extra:amd64 2.43-2ubuntu2 <none>
2026-04-20 18:05:21 status unpacked libc-gconv-modules-extra:amd64 2.43-2ubuntu2
2026-04-20 18:05:21 status half-configured libc-gconv-modules-extra:amd64 2.43-2ubuntu2
2026-04-20 18:05:21 status installed libc-gconv-modules-extra:amd64 2.43-2ubuntu2
2026-04-20 18:05:21 configure login.defs:all 1:4.17.4-2ubuntu3 <none>
2026-04-20 18:05:21 status unpacked login.defs:all 1:4.17.4-2ubuntu3
2026-04-20 18:05:21 status half-configured login.defs:all 1:4.17.4-2ubuntu3
2026-04-20 18:05:21 status installed login.defs:all 1:4.17.4-2ubuntu3
2026-04-20 18:05:21 configure gcc-16-base:amd64 16-20260322-1ubuntu1 <none>
2026-04-20 18:05:21 status unpacked gcc-16-base:amd64 16-20260322-1ubuntu1
2026-04-20 18:05:21 status half-configured gcc-16-base:amd64 16-20260322-1ubuntu1
2026-04-20 18:05:21 status installed gcc-16-base:amd64 16-20260322-1ubuntu1
2026-04-20 18:05:21 configure libaudit-common:all 1:4.1.2-1build1 <none>
2026-04-20 18:05:21 status unpacked libaudit-common:all 1:4.1.2-1build1
2026-04-20 18:05:21 status half-configured libaudit-common:all 1:4.1.2-1build1
2026-04-20 18:05:21 status installed libaudit-common:all 1:4.1.2-1build1
2026-04-20 18:05:21 configure libsemanage-common:all 3.9-1build1 <none>
2026-04-20 18:05:21 status unpacked libsemanage-common:all 3.9-1build1
2026-04-20 18:05:21 status half-configured libsemanage-common:all 3.9-1build1
2026-04-20 18:05:21 status installed libsemanage-common:all 3.9-1build1
2026-04-20 18:05:21 configure debconf:all 1.5.92 <none>
2026-04-20 18:05:21 status unpacked debconf:all 1.5.92
2026-04-20 18:05:21 status half-configured debconf:all 1.5.92
2026-04-20 18:05:21 status installed debconf:all 1.5.92
2026-04-20 18:05:21 configure ncurses-base:all 6.6+20251231-1 <none>
2026-04-20 18:05:21 status unpacked ncurses-base:all 6.6+20251231-1
2026-04-20 18:05:21 status half-configured ncurses-base:all 6.6+20251231-1
2026-04-20 18:05:21 status installed ncurses-base:all 6.6+20251231-1
2026-04-20 18:05:21 configure init-system-helpers:all 1.69 <none>
2026-04-20 18:05:21 status unpacked init-system-helpers:all 1.69
2026-04-20 18:05:21 status half-configured init-system-helpers:all 1.69
2026-04-20 18:05:21 status installed init-system-helpers:all 1.69
2026-04-20 18:05:21 configure sensible-utils:all 0.0.26build1 <none>
2026-04-20 18:05:21 status unpacked sensible-utils:all 0.0.26build1
2026-04-20 18:05:21 status half-configured sensible-utils:all 0.0.26build1
2026-04-20 18:05:21 status installed sensible-utils:all 0.0.26build1
2026-04-20 18:05:21 configure libgcc-s1:amd64 16-20260322-1ubuntu1 <none>
2026-04-20 18:05:21 status unpacked libgcc-s1:amd64 16-20260322-1ubuntu1
2026-04-20 18:05:21 status half-configured libgcc-s1:amd64 16-20260322-1ubuntu1
2026-04-20 18:05:21 status installed libgcc-s1:amd64 16-20260322-1ubuntu1
2026-04-20 18:05:21 configure libc6:amd64 2.43-2ubuntu2 <none>
2026-04-20 18:05:21 status unpacked libc6:amd64 2.43-2ubuntu2
2026-04-20 18:05:21 status half-configured libc6:amd64 2.43-2ubuntu2
